011000015,"FEDERAL RESERVE BANK;1000 PEACHTREE ST N.E.;ATLANTA, GA 30309-4470"
073904531,"WEST LIBERTY STATE BANK;101 E 4TH ST;WEST LIBERTY, IA 52776-0000"
073904560,"FIRST NATIONAL BANK;PO BOX 233;WEST UNION, IA 52175-0233"
073904638,"DEWITT BANK & TR CO;PO BOX 260;DE WITT, IA 52742-0000"
073904696,"KERNDT BROS SAVINGS BANK;PO BOX 370;LANSING, IA 52151-0000"
073904751,"MOUNT VERNON BANK & TRUST CO;PO BOX 188;MOUNT VERNON, IA 52314-0188"
073904777,"UNION STATE BANK;PO BOX 268;ROCKWELLC ITY, IA 50579-0000"
073904890,"FIRST NATIONAL BANK;PO BOX 325;MANNING, IA 51455-0000"
073904939,"FIRST STATE BANK;106 W FIRST ST;SUNMER, IA 50674-0000"
073905006,"NORTHWESTERN BANK;PO BOX 260;ORANGE CITY, IA 51041-0000"
073905064,"GNB BANK;529 G AVE;GRUNDY CENTER, IA 50638-0000"
073905116,"SIBLEY STATE BANK;803 4TH AVE;SIBLEY, IA 51249-0096"
073905187,"AMES COMMUNITY BANK;104 CHESTNUT;AMES, IA 50010-0000"
073905268,"UNION BANK, N.A.;3631 EAST BASELINE ROAD;GILBERT, AZ 85234-0000"
073905284,"FIDELITY BANK & TRUST;PO BOX 277;DYERSVILLE, IA 52040-0000"
073905352,"ACKLEY STATE BANK;650 MAIN ST;ACKLEY, IA 50601-0149"
073905417,"PATRIOT BANK;104 JACKSON STREET;BROOKLYN, IA 52211-0000"
073905527,"LINCOLN SAVINGS BANK;PO BOX E;REINBECK, IA 50669-0159"
073905608,"CENTRAL STATE BANK;102 NORTH MAIN;ELKADER, IA 52043-0040"
073905637,"SANBORN SAVINGS BANK;PO BOX 539;SANBORN, IA 51248-0000"
073905653,"MONTEZUMA STATE BANK;101 S. 4TH ST;MONTEZUMA, IA 50171-0000"
073905718,"COMMUNITY BANK;615 CEDAR STREET;MUSCATINE, IA 52761-0000"
073905873,"SECURITY NATIONAL BANK;PO BOX 147;SIOUX CITY, IA 51102-0147"
073905912,"ROLLING HILLS BANK & TRUST;1307 E 7TH;ATLANTIC, IA 50022-0000"
073906005,"GREAT WESTERN BANK;100 N PHILLIPS AVE.;SIOUX FALLS, SD 57104-0000"
073906034,"VALLEY BANK & TRUST;PO BOX 183;MAPLETON, IA 51034-0000"
073906047,"FIRST STATE BANK OF MAPLETON;PO BOX 178;MAPLETON, IA 51034-0178"
073906092,"IOWA SAVINGS BANK;PO BOX 967;CARROLL, IA 51401-0000"
073906131,"AMERICAN BANK NA;234 5TH AVENUE SW;LE MARS, IA 51013-0000"
073906160,"FARMERS TRUST & SAVINGS BANK;PO BOX 90;WILLIAMSBURG, IA 52361-0000"
073906306,"GREAT WESTERN BANK;100 N PHILLIPS AVENUE;SIOUX FALLS, SD 57104-0000"
073906335,"FARMERS SAVINGS BANK;225 E BROADWAY AVE;KEOTA, IA 52248-0000"
073906445,"KINGSLEY STATE BANK;1 EAST 2ND STREET;KINGSLEY, IA 51028-0000"
073906513,"FREEDOMBANK;PO BOX 830;ELKADER, IA 52043-0000"
073906526,"CITIZENS STATE BANK;PO BOX 277;DYERSVILLE, IA 52040-0000"
073906665,"PEOPLES STATE BANK;PO BOX H;WINFIELD, IA 52659-0000"
073906788,"DYSART STATE BANK;301 MAIN STREET;DYSART, IA 52224-0000"
073906801,"EXCHANGE STATE BANK;PO BOX 98;ADAIR, IA 50002-0000"
073906856,"CENTRAL STATE BANK;PO BOX 548;STATE CENTER, IA 50247-0000"
073906872,"IOWA STATE BANK;HWY 78 & MAIN;MORNING SUN, IA 52640-0000"
073907091,"UNITED BANK OF IOWA;PO BOX 111;IDA GROVE, IA 51445-0000"
073907127,"SECURITY STATE BANK;PO BOX 70;NEW HAMPTON, IA 50659-0000"
073907208,"FARMERS & TRADERS SAVINGS;108 W RAMSEY;BANCROFT, IA 50517-0000"
073907334,"BRIDGE COMMUNITY BANK;200 S CHERRY ST;MECHANICSVILLE, IA 52306-0000"
073907389,"MONROE STATE BANK;BOX 399;MONROE, IA 50170-0000"
073907473,"FREEDOMBANK;PO BOX 830;ELKADER, IA 52043-0000"
073907509,"FIRST NATIONAL BANK FONTANELLE;PO BOX 367;FONTANELLE, IA 50846-0000"
073907541,"FARM & MERCH SVG BK;200 N DEVOE;LONE TREE, IA 52755-0000"
073907583,"BANK IOWA;1150 JORDAN CREEK PARKWAY;WEST DES MOINES, IA 50266-0000"
073907664,"AMERICAN SAVINGS BANK;312 SOUTH MAIN STREET;TRIPOLI, IA 50676-0909"
073907729,"FARMERS TRUST AND SAVINGS BANK;101 NORTH MAIN;BUFFALO CENTER, IA 50424-0000"
073907758,"SECURITY STATE BANK (OSSIAN OFFICE);PO BOX 70;NEW HAMPTON, IN 50659-0000"
073907774,"ST ANSGAR STATE BANK;PO BOX 219;ST. ANSGAR, IA 50472-0219"
073907855,"FIRST NATIONAL BANK;PO BOX 68;PRIMGHAR, IA 51245-0000"
073907868,"SAVINGS BANK;185 S GREEN AVE;PRIMGHAR, IA 51245-0000"
073907897,"FIRST COMMUNITY BANK;PO BOX 295;NEWELL, IA 50568-0295"
073907952,"CITIZENS STATE BANK;114 WEST MAIN STREET;WYOMING, IA 52362-0000"
073908045,"FARMERS STATE BANK;1009 PEOPLES SQ;WATERLOO, IA 50702-5740"
073908155,"WEST IOWA BANK;319 S BROADWAY;WEST BEND, IA 50597-0000"
073908252,"STATE BANK OF BUSSEY;402 MERRILL STREET;BUSSEY, IA 50044-0000"
073908278,"UNITED BANK OF IOWA;PO BOX 111;IDA GROVE, IA 51445-0000"
073908317,"COMMUNITY STATE BANK;PO BOX 445;TIPTON, IA 52772-0000"
073908359,"SECURITY STATE BANK;207 ISABELLA;RADCLIFFE, IA 50230-0000"
073908511,"STATE BANK OF SCHALLER;PO BOX 69;SCHALLER, IA 51053-0000"
073908621,"FARMERS SAVINGS BANK;PO BOX G;VICTOR, IA 52347-0000"
073908634,"VICTOR STATE BANK;DRAWER K;VICTOR, IA 52347-0000"
073908728,"FIRST TRUST & SAVINGS BANK;PO BOX 247;AURELIA, IA 51005-0247"
073908731,"HERITAGE BANK N A;PO BOX 1124;WILLMAR, MN 56201-0000"
073908760,"FAIRBANK STATE BANK;PO BOX 466;FAIRBANK, IA 50629-0000"
073908980,"GREAT WESTERN BANK;100 N PHILLIPS;SIOUX FALLS, SD 57101-0000"
073909015,"NEW ALBIN SAVINGS BANK;118 MAIN ST;NEW ALBIN, IA 52160-0000"
073909031,"THE EXCHANGE STATE BANK;253 BROADWAY;SPRINGVILLE, IA 52336-0000"
073909183,"ELGIN STATE BANK;241 CENTER ST.;ELGIN, IA 52141-0000"
073909222,"NORTHEAST SECURITY BANK;108 N CARPENTER;SUMNER, IA 50674-0269"
073909345,"MIDWESTONE BANK;102 S. CLINTON ST;IOWA CITY, IA 52240-0000"
073909361,"SLOAN STATE BANK;BOX AC;SLOAN, IA 51055-0904"
073909468,"STATE SAVINGS BANK;102 S MAIN;BAXTER, IA 50028-0000"
073909507,"EXCHANGE STATE BANK;104 MAIN STREET;COLLINS, IA 50055-0000"
073909578,"FARMERS STATE BANK;412 BROAD ST;WHITTEMORE, IA 50598-0000"
073909620,"CITIZENS SAVINGS BANK;PO BOX 6;HAWKEYE, IA 52147-0006"
073909714,"FARMERS & TRADERS SAVINGS;PO BOX 8;DOUDS, IA 52551-0000"
073909992,"FREEDOM SECURITY BANK;PO BOX 1206;KALONA, IA 52755-0000"
073910046,"CENTER POINT BANK & TRUST CO;PO BOX 255;CENTER POINT, IA 52213-0000"
073910062,"WEST BANK;PO BOX 65020;WEST DES MOINES, IA 50265-0000"
073910091,"FIRST CENTRAL STATE BANK;914 6TH AVE;DE WITT, IA 52742-0000"
073910114,"COMMUNITY STATE BANK;PO BOX 308;JOHNSTON, IA 50131-0000"
073910237,"FIRST NATIONAL BANK;801 S FREMONT;SHENANDOAH, IA 51601-0000"
073910266,"CITIZENS SAVINGS BANK;PO BOX 188;GILMAN, IA 50106-0000"
073910389,"WALCOTT TRUST & SAVINGS BA;PO BOX 100;WALCOTT, IA 52773-0000"
073910473,"ROLLING HILLS BANK & TRUST;1307 E 7TH;ATLANTIC, IA 50022-0000"
073910745,"UNION STATE BANK;214 S 1ST ST;GREENFIELD, IA 50849-0000"
073910923,"WHITE STATE BANK;PO BOX 68;SOUTH ENGLISH, IA 52335-0000"
073911061,"CITY STATE BANK;801 MAIN ST;NORWALK, IA 50211-0000"
073911278,"LANDMANDS BANK;201 S DIVISION ST;AUDUBON, IA 50025-0000"
073911359,"IOWA NEBRASKA STATE BANK;2021 DAKOTA AVE;SOUTH SIOUX CITY, NE 68776-0000"
073911511,"CEDAR RAPIDS BANK & TRUST;500 1ST AVENUE NE;CEDAR RAPIDS, IA 52401-0000"
073911582,"IOWA PRAIRIE BANK;240 LINN ST;BRUNSVILLE, IA 51008-0000"
073911676,"FARMERS STATE BANK;1240 8TH AVE;MARION, IA 52302-3504"
073911812,"ASHTON STATE BANK;PO BOX 278;ASHTON, IA 51232-0278"
073911870,"OHNWARD BANK & TRUST;332 1ST AVE WEST;CASCADE, IA 52033-0000"
073911951,"FARMERS SAVINGS BANK;PO BOX 1324;MARSHALLTOWN, IA 50158-1324"
073912060,"BENTON COUNTY STATE BANK;PO BOX 180;BLAIRSTOWN, IA 52209-0000"
073912073,"BLENCOE STATE BANK;21945 HWY 175;ONAWA, IA 51040-0000"
073912086,"BLUE GRASS SAVINGS BANK;104 EAST MAYNE ST;BLUE GRASS, IA 52726-0000"
073912196,"BREDA SAVINGS BANK;PO BOX 99;BREDA, IA 51436-0000"
073912222,"STATE BANK OF BROOKS;PO BOX 107;CORNING, IA 50841-0000"
073912264,"BUFFALO SAVINGS BANK;120 WASHINGTON ST;BUFFALO, IA 52728-0489"
073912552,"FARMERS SAVINGS BANK;PO BOX 127;COLESBURG, IA 52035-0000"
073912756,"DANVILLE STATE SAVINGS BAN;PO BOX 295;DANVILLE, IA 52623-0000"
073912808,"HERITAGE BANK;695 MARION BOULEVARD;MARION, IA 52302-0000"
073912837,"DENVER SAVINGS BANK;121 S. STATE ST;DENVER, IA 50622-0000"
073913195,"FAIRFAX STATE SAVINGS BANK;PO BOX 277;FAIRFAX, IA 52228-0277"
073913218,"FREEDOMBANK;PO BOX 830;ELKADER, IA 52043-0000"
073913302,"FARMERS SAVINGS BANK;PO BOX B;FREDERIKA, IA 50631-0000"
073913344,"SECURITY STATE BANK;211 E MAPLE;HUBBARD, IA 50122-0549"
073913373,"GARNAVILLO SAVINGS BANK;101 SOUTH MAIN STREET;GARNAVILLO, IA 52049-0100"
073913425,"PATRIOT BANK;PO BOX 532;BROOKLYN, IA 52211-0000"
073913467,"GATEWAY STATE BANK;PO BOX 1178;CLINTON, IA 52732-0000"
073913580,"WESTSIDE STATE BANK;PO BOX 77;WESTSIDE, IA 54167-0000"
073913674,"MARION COUNTY STATE BANK;800 MAIN ST;PELLA, IA 50219-1522"
073913755,"HILLS BANK AND TRUST CO;131 MAIN ST;HILLS, IA 52235-0000"
073913836,"LEGACY BANK;215 CENTER AVE S;MITCHELLVILLE, IA 50169-0000"
073913959,"IOWA STATE BANK;PO BOX 99;CLARKSVILLE, IA 50619-0000"
073914149,"STATE BANK OF LEDYARD;BOX 158;LEDYARD, IA 50556-0000"
073914220,"LIBERTYVILLE SAVINGS BANK;PO BOX 744;FAIRFIELD, IA 52556-0000"
073914262,"HILLS BANK;PO BOX 959;LISBON, IA 52253-0000"
073914288,"COMMUNITY SAVINGS BANK;201 E MAIN;MANCHESTER, IA 52057-0000"
073914356,"LUANA SAVINGS BANK;PO BOX 68;LUANA, IA 52156-0000"
073914369,"COMMUNITY STATE BANK;1401 NORTH JEFFERSON;INDIANOLA, IA 50125-0257"
073914398,"FIDELITY BANK AND TRUST;PO BOX 277;DYERSVILLE, IA 52040-0000"
073914411,"FIRST STATE BANK;PO BOX 187;LYNNVLLE, IA 50153-0000"
073914550,"MAYNARD SAVINGS BANK;310 MAIN ST W;MAYNARD, IA 50655-0158"
073914822,"UNITED BANK OF IOWA;PO BOX 111;IDA GROVE, IA 51445-0000"
073914864,"CEDAR VALLEY BANK AND TRUST;PO BOX 122;LAPORTE CITY, IA 50651-0122"
073914961,"LIBERTY TRUST & SVGS BK;502 8TH AVE;DURANT, IA 52747-0000"
073915193,"PALO SAVINGS BANK;606 FIRST STREET;PALO, IA 52324-0000"
073915342,"POLK COUNTY BANK;PO BOX 3810;URBANDALE, IA 50323-0000"
073915397,"BLACKHAWK STATE BANK;PO BOX 1100;MILAN, IL 61264-0000"
073915449,"STATE SAVINGS BANK;102 N MAIN STREET;RAKE, IA 50465-0000"
073915494,"READLYN SAVINGS BANK;PO BOX 40;READLYN, IA 50668-0040"
073915520,"FIRST NATIONAL BANK;101 EAST MAIN ST;REMBRANDT, IA 50576-0000"
073915656,"ROWLEY SAVINGS BANK;114 ELY ST;ROWLEY, IA 52329-0100"
073915672,"FEDERATION BANK;102 EAST MAIN ST;WASHINGTON, IA 52353-0000"
073915782,"PIONEER BANK;4700 SINGING HILLS BLVD;SIOUX CITY, IA 51106-0000"
073915818,"STATE SAVINGS BANK;612 CENTRAL;BEDFORD, IA 50833-0000"
073915847,"FIRST NATIONAL BANK;PO BOX 330;SIOUX CENTER, IA 51250-0330"
073915889,"HEARTLAND BANK;1314 1ST AVENUE;MANSON, IA 50563-0000"
073915915,"CITIZENS SAVINGS BANK;101 CHURCH ST;SPILLVILLE, IA 52168-0000"
073916367,"FARMERS SAVINGS BANK;345 HWY 151 BOX 131;WALFORD, IA 52351-0131"
073916406,"WATKINS SAVINGS BANK;202-1ST STREET;WATKINS, IA 52354-0000"
073916422,"WAYLAND STATE BANK;205 W MAIN;WAYLAND, IA 52654-0000"
073916477,"FARMERS & MERCHANTS BANK & TRUST;221 JEFFERSON STREET;BURLINGTON, IA 52601-0000"
073916480,"WEST CHESTER SAVINGS BANK;1060 W. MONROE;WASHINGTON, IA 52353-0000"
073916532,"FARMERS SAVINGS BANK;3542 168TH STREET;WEVER, IA 52658-0000"
073916545,"FIRST TRUST & SAVGS BK;123 S MAIN ST;WHEATLAND, IA 52777-0000"
073916668,"PILOT GROVE SAVINGS BANK;1341 PILOT GROVE RD;PILOT GROVE, IA 52648-0000"
073916778,"LEIGHTON STATE BANK;PO BOX 146;LEIGHTON, IA 50143-0000"
073917010,"CITIZENS STATE BANK;117 W 1ST STREET;MONTICELLO, IA 52310-0000"
073917175,"MELVIN SAVINGS BANK;260 MAIN STREET;MELVIN, IA 51350-0000"
073917285,"PEOPLES SAVINGS BANK;PO BOX 128;CRAWFORDSVILLE, IA 52621-0128"
073917298,"SWISHER TRUST & SAVINGS;59 ROSE AVENUE;SWISHER, IA 52338-0000"
073917641,"AMERICAN STATE BANK;525 N MAIN AVE;SIOUX CENTER, IA 51250-0000"
073917748,"AMERICAN TRUST & SAVINGS BK;PO BOX 129;LOWDEN, IA 52255-0129"
073917764,"FARMERS SAVINGS BANK;17 W SECOND ST;REMSEN, IA 51050-0000"
073917887,"COMMUNITY STATE BANK;208 MAIN STREET;ALBERT CITY, IA 50510-0000"
073918077,"SECURITY SAVINGS BANK;PO BOX 126;FARNHAMVILLE, IA 50538-0000"
073918103,"FARMERS STATE BANK;401 MAIN STREET;LAKE VIEW, IA 51450-0000"
073918158,"PILOT GROVE SAVINGS BANK;1341 PILOT GROVE RD;PILOT GROVE, IA 52648-0000"
073918323,"FARMERS STATE BANK;201 MAIN ST;YALE, IA 50277-0000"
073918378,"HOME STATE BANK;PO BOX 79;ROYAL, IA 51357-0079"
073918394,"ATKINS SAVINGS BANK & TRUST;97 MAIN;ATKINS, IA 52206-0000"
073918459,"FARMERS SAVINGS BANK AND TRUST;611 2ND ST;TRAER, IA 50675-0000"
073918569,"FARMERS STATE BANK;PO BOX 6;GRAFTON, IA 50440-0000"
073918598,"BANK OF AMERICA, N.A.;PO BOX27025;RICHMOND, VA 23261-7025"
073918608,"UNITED BANK & TRUST CO;PO BOX 647;SHEFFIELD, IA 50475-0000"
073918653,"COMMUNITY BANK;PO BOX 430;ALTON, IA 51003-0430"
073918844,"TITONKA SAVINGS BANK;173 NORTH MAIN STREET;TITONKA, IA 50480-0000"
073918857,"FARMERS TRUST AND SAVINGS BANK;125 W 4TH STREET;SPENCER, IA 51301-7980"
073919005,"FARMERS SAVINGS BANK;10 HWY. AVE NW;FOSTORIA, IA 51340-0000"
073919212,"PEOPLES TRUST & SAVINGS BANK;116 W STATE ST;JEFFERSON, IA 50129-0000"
073919283,"BANK IOWA;1150 JORDAN CREEK PARKWAY;WEST DES MOINES, IA 50266-0000"
073919416,"PEOPLES BANK;1230 VALLEY DRIVE;ROCK VALLEY, IA 51247-0000"
073919571,"COMMERCIAL SAVINGS BANK;627 N ADAMS;CARROLL, IA 51401-0000"
073919911,"FIRST TRUST & SAVINGS BANK;PO BOX 506;MOVILLE, IA 51039-0000"
073920162,"SECURITY SAVINGS BANK;430 HOLDER ST;LARCHWOOD, IA 51241-0000"
073920285,"BANK IOWA;230 FIRST ST. E.;INDEPENDENCE, IA 50644-0000"
073920395,"BELLEVUE STATE BANK;200 S SECOND STREET;BELLEVUE, IA 52031-0000"
073920405,"TEMPLETON SAVINGS BANK;PO BOX 98;TEMPLETON, IA 51463-0000"
073920418,"BANK IOWA;1150 JORDAN CREEK PARKWAY;WEST DES MOINES, IA 50266-0000"
073920450,"WESTSIDE STATE BANK;PO BOX 77;WESTSIDE, IA 51467-0000"
073920463,"IOWA PRAIRIE BANK;240 LINN STREET;BRUNSVILLE, IA 51008-0000"
073920531,"PEOPLES SAVINGS BANK;414 N. ADAMS ST.;WELLSBURG, IA 50680-0248"
073920557,"CENTRAL BANK ( OFFICE OF STORM LAKE);PO BOX 578;STORM LAKE, IA 50588-0000"
073920612,"FARM & MERCH SVG BK;201 W. MAIN STREET;WAUKON, IA 52172-0000"
073920638,"HOME STATE BANK;PO BOX 351;JEFFERSON, IA 50129-0000"
073920654,"IOWA STATE BANK;500 AUDUBON STREET;SAC CITY, IA 50583-0000"
073920683,"POCAHONTAS STATE BANK;233 N MAIN;POCAHONTAS, IA 50574-0000"
073920706,"CITIZENS STATE BANK;200 N MAIN;POCAHONTAS, IA 50574-0000"
073920735,"COLUMBUS JUNCTION STATE BA;PO BOX 271;COLUMBUS JUNCTN, IA 52738-0271"
073920764,"PEOPLES SAVINGS BANK;328 MAIN ST;ELMA, IA 50628-0000"
073920777,"PINNACLE BANK;2206 S CENTER ST;MARSHALLTOWN, IA 50158-0000"
073920780,"STATE BANK OF TOLEDO;100 E HIGH ST;TOLEDO, IA 52342-0000"
073920832,"HARTWICK STATE BANK;207 MAIN ST.;HARTWICK, IA 52232-0000"
073920845,"GREAT WESTERN BANK;100 N PHILLIPS AVE;SIOUX FALLS, SD 57104-0000"
073920861,"BANK IOWA;1150 JORDAN CREEK PARKWAY;WEST DES MOINES, IA 50266-0000"
073920874,"FIRST STATE BANK;PO BOX 8;BRITT, IA 50423-0008"
073920887,"RACCOON VALLEY BANK;1202 2ND ST;PERRY, IA 50220-0000"
073920890,"EMMET COUNTY STATE BANK;101 N 6TH ST;ESTHERVILLE, IA 51334-0000"
073920900,"FIDELITY BANK;PO BOX 397;HUXLEY, IA 50124-0000"
073920913,"NORTHWESTERN BANK;PO BOX 260;ORANGE CITY, IA 51041-0000"
073920926,"RANDALL-STORY STATE BANK;PO BOX 278;STORY CITY, IA 50248-0000"
073920939,"IOWA STATE BANK;5 E. CALL STREET;ALGONA, IA 50511-2499"
073920942,"PEOPLES TRUST & SAVINGS BANK;90 E RAILROAD ST PO BOX A;RIVERSIDE, IA 52327-0496"
073920997,"THE STATE BANK;1902 HILL AVENUE;SPIRIT LAKE, IA 51360-0000"
073921006,"FARMERS STATE BANK;PO BOX 548;MARCUS, IA 51035-0000"
073921048,"CITIZENS BANK;500 W. MAIN ST.;SAC CITY, IA 50583-0000"
073921093,"IOWA TRUST AND SAVINGS BANK;2101 10TH STREET;EMMETSBURG, IA 50536-0159"
073921129,"HEDRICK SAVINGS BANK;216 S MARKET ST;OTTUMWA, IA 52501-0000"
073921132,"FIRST STATE BANK;PO BOX 461;SIOUX RAPIDS, IA 50585-0000"
073921145,"PLEASANTVILLE STATE BANK;PO BOX 190;PLEASANTVILLE, IA 50225-0000"
073921158,"EARLHAM SAVINGS BANK;7300 LAKE DRIVE;WEST DES MOINES, IA 50266-0000"
073921161,"SECURITY STATE BANK;109 W 2ND ST;SUTHERLAND, IA 51058-0000"
073921187,"SECURITY STATE BANK;PO BOX 68;BURT, IA 50522-0000"
073921190,"CITIZENS STATE BANK;117 W 1ST STREET;MONTICELLO, IA 52310-0000"
073921200,"COMMUNITY FIRST BANK;714 FIRST ST;KEOSAUQUA, IA 52565-0130"
073921213,"FIRST TRUST & SAVINGS BANK;PO BOX 486;OXFORD, IA 52322-0000"
073921226,"CENTRAL BANK;PO BOX 578;STORM LAKE, IA 50588-0000"
073921323,"UNITED COMMUNITY BANK;1000 OKOBOJI AVE;MILFORD, IA 51351-0167"
073921404,"GUTHRIE COUNTY STATE BANK;PO BOX 8;GUTHRIE CENTER, IA 50115-0000"
073921420,"FRONTIER BANK;PO BOX 551;ROCK RAPIDS, IA 51246-0000"
073921433,"UNITED BANK OF IOWA;PO BOX 111;IDA GROVE, IA 51445-0000"
073921446,"SOLON STATE BANK;126 S. MARKET;SOLON, IA 52333-0000"
073921514,"US BANK NA;EP-MN-WN1A;ST. PAUL, MN 55107-1419"
073921527,"IOWA FALLS STATE BANK;PO BOX 129;IOWA FALLS, IA 50126-0129"
073921530,"NORTHWOODS STATE BANK;2650 4TH ST S W;MASON CITY, IA 50401-0000"
073921543,"FIRST STATE BANK;304 E MAIN STREET;BELMOND, IA 50421-0039"
073921556,"MANSON STATE BANK;1001 MAIN STREET;MANSON, IA 50563-0000"
073921569,"UNITED BANK OF IOWA;PO BOX 111;IDA GROVE, IA 51445-0000"
073921585,"FIRST STATE BANK;200 MOOREHEAD AVE;IDA GROVE, IA 51445-0000"
073921611,"ROLFE STATE BANK;PO BOX 101;ROLFE, IA 50581-0000"
073921624,"MIDWESTONE BANK;102 S. CLINTON ST.;IOWA CITY, IA 52240-0000"
073921637,"SECURITY SAVINGS BANK;PO BOX 6;LARCHWOOD, IA 51241-0006"
073921640,"FIRST STATE BANK;200 MOOREHEAD AVE;IDA GROVE, IA 51445-0000"
073921653,"CLARKE COUNTY STATE BANK;139 S MAIN;OSCEOLA, IA 50213-0000"
073921666,"LAURENS STATE BANK;PO BOX 136;LAURENS, IA 50554-0000"
073921679,"GREENBELT BANK AND TRUST;616 WASHINGTON AVE;IOWA FALLS, IA 50126-0000"
073921682,"KEYSTONE SAVINGS BANK;81 MAIN ST;KEYSTON, IA 52249-0000"
073921695,"DECORAH BANK & TRUST COMPANY;202 E WATER ST;DECORAH, IA 52101-0000"
073921718,"FIRST STATE BANK;PO BOX 70;WEBSTER CITY, IA 50595-0070"
073921721,"STATE BANK OF WAPELLO;306 N 2ND ST;WAPELLO, IA 52653-1204"
073921763,"BANK OF AMERICA, N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
073921776,"CHELSEA SAVINGS BANK;PO BOX 67;BELLE PLAINE, IA 52208-3144"
073921792,"STATE BANK & TRUST COMPANY;PO BOX 70;NEW HAMPTON, IA 50659-0000"
073921802,"BANK IOWA;1150 JORDAN CREEK PARKWAY;WEST DES MOINES, IA 50266-0000"
073921815,"FIDELITY BANK AND TRUST;PO BOX 277;DYERSVILLE, IA 52040-0000"
073921831,"STATE BANK & TRUST COMPANY;1025 6TH ST;NEVADA, IA 50202-0000"
073921844,"STATE BANK & TRUST COMPANY;124 1ST STREET SE;WAVERLY, IA 50677-0058"
073921860,"SECURITY STATE BANK;PO BOX 845;WAVERLY, IA 50677-0000"
073921873,"MEDIAPOLIS SAVINGS BANK;605 MAIN STREET;MEDIAPOLIS, IA 52637-0000"
073921909,"SECURITY STATE BANK;PO BOX 511;INDEPENDENCE, IA 50644-0511"
073921912,"FARMERS SAVING BANK-VINTON;401 B AVENUE;VINTON, IA 52349-0000"
073921938,"MAXWELL STATE BANK;122 MAIN ST.;MAXWELL, IA 50161-0000"
073921954,"STATE BANK;301 N MAIN ST.;EVERLY, IA 51338-0000"
073921967,"FIRST STATE BANK;PO BOX 400;STUART, IA 50250-0000"
073921970,"FIRST STATE BANK;300 E MAIN;MANCHESTER, IA 52057-0000"
073922005,"PEOPLES BANK;1230 VALLEY DRIVE;ROCK VALLEY, IA 51247-0000"
073922018,"LINN COUNTY STATE BANK;1295 BLAIRS FERRY RD;MARION, IA 52302-0000"
073922021,"MFRS BK & TR CO;245 E J ST;FOREST CITY, IA 50436-0000"
073922063,"PEOPLES SAVINGS BANK;106 S 2ND ST;MONTEZUMA, IA 50171-0000"
073922089,"WALKER STATE BANK;116 GREENE STREET;WALKER, IA 52352-0000"
073922092,"CITY STATE BANK;BOX 502;CENTRAL CITY, IA 52214-0000"
073922115,"BANK PLUS;1202 CENTRAL AVE;ESTHERVILLE, IA 51334-0000"
073922238,"SOUTH STORY BANK & TRUST;501 LINN STREET;SLATER, IA 50244-0000"
073922241,"BANK IOWA;1150 JORDAN CREEK PARKWAY;WEST DES MOINES, IA 50266-0000"
073922254,"ROLLING HILLS BANK & TRUST;1307 E 7TH;ATLANTIC, IA 50022-0000"
073922296,"COMMUNITY STATE BANK;207 S MAIN STREET;PATON, IA 50217-0217"
073922322,"CITIZENS STATE BANK;PO BOX 130;SHELDON, IA 51201-0000"
073922351,"MAQUOKETA STATE BANK;203 N MAIN ST;MAQUOKETA, IA 52060-0000"
073922364,"PANORA STATE BANK;PO BOX 9;PANORA, IA 50216-0000"
073922377,"1ST SECURITY STATE BANK;3600 LAFAYETTE RD;EVANSDALE, IA 50707-0008"
073922403,"AMERICAN STATE BANK;1000 JEFFREYS DR;OSCEOLA, IA 50213-0000"
073922429,"LIBERTY BANK F S B;6400 WESTOWN PARKWAY;WEST DES MOINES, IA 50266-0000"
073922432,"IOWA STATE BANK;105 ALBANY AVE SE;ORANGE CITY, IA 51041-0000"
073922458,"COMMUNITY BANK;615 CEDAR STREET;MUSCATINE, IA 52761-0000"
073922474,"VIKING STATE BANK & TRUST;22 W MAIN STREET;WAUKON, IA 52172-0000"
073922490,"FIRST AMERICAN BANK;12333 UNIVERSITY AVE;CLIVE, IA 50325-0000"
073922500,"FIDELITY BANK AND TRUST;PO BOX 277;DYERSVILLE, IA 52040-0000"
073922513,"DECORAH BANK & TRUST COMPANY;202 E WATER ST;DECORAH, IA 52101-0000"
073922526,"HILLS BANK KALONA;131 MAIN STREET;HILLS, IA 52235-0000"
073922539,"COMMUNITY BANK;1121 SOUTH G AVE;NEVADA, IA 50201-0000"
073922542,"TWO RIVERS BANK & TRUST;222 N MAIN ST;BURLINGTON, IA 52601-0000"
073922555,"PREMIER BANK;PO BOX 177;ROCK VALLEY, IA 51247-0000"
073922571,"NORTHSTAR BANK;PO BOX 414;ESTHERVILLE, IA 51334-0414"
073922597,"COMMUNITY NATIONAL BANK;312 W 1ST ST;CEDAR FALLS, IA 50613-0000"
073922607,"HIAWATHA BANK & TRUST CO;777 NORTH CENTER POINT ROAD;HIAWATHA, IA 52233-0000"
073922610,"MIDWESTONE BANK;102 S. CLINTON ST;IOWA CITY, IA 52240-0000"
073922623,"PRINCIPAL BANK;STE 100;DES MOINES, IA 50321-1270"
073922636,"FIDELITY BANK & TRUST;PO BOX 277;DYERSVILLE, IA 52040-0000"
073922649,"FIRST NATIONAL BANK;316 EAST BREMER AVENUE;WAVERLY, IA 50677-0837"
